Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787144137,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787144138,20,,Aggregated,0.000000,0.000000,9,10,11,12,14,17,23,26,41,41,41,953,0,9,9.437473767041956,3.315800000564195,41.12099999838392,0.0
1787144139,30,,Aggregated,0.000000,0.000000,11,13,14,15,19,22,26,29,37,41,41,2149,0,11,11.97608050256148,3.315800000564195,41.12099999838392,0.0
1787144140,40,,Aggregated,643.000000,0.000000,13,17,21,23,29,34,42,45,63,65,65,3113,0,13,16.061932155481777,3.315800000564195,64.87149999884423,0.0
1787144141,50,,Aggregated,879.000000,0.000000,16,23,28,31,39,49,71,79,120,130,130,3881,0,16,20.97420992012636,3.315800000564195,134.53159999880882,0.0
1787144142,50,,Aggregated,925.333333,0.000000,19,27,32,36,50,70,86,110,240,300,300,4614,0,19,26.035002145646704,3.315800000564195,300.77410000012605,0.0
1787144143,50,,Aggregated,890.500000,0.000000,23,31,36,40,56,71,88,100,240,300,300,5531,0,23,28.532025908512153,3.315800000564195,300.77410000012605,0.0
1787144144,50,,Aggregated,847.800000,0.000000,25,32,38,42,59,72,85,100,240,300,300,6503,0,25,30.05967036752295,3.315800000564195,300.77410000012605,0.0
1787144145,50,,Aggregated,835.500000,0.000000,27,33,40,45,62,74,84,97,240,300,300,7494,0,27,31.32353913798069,3.315800000564195,300.77410000012605,0.0
1787144146,50,,Aggregated,851.571429,0.000000,29,36,42,48,63,74,85,97,240,300,300,8273,0,29,32.83949319473152,3.315800000564195,300.77410000012605,0.0
1787144147,50,,Aggregated,861.125000,0.000000,30,37,43,48,64,74,84,97,240,300,300,9216,0,30,33.629947960073764,3.315800000564195,300.77410000012605,0.0
1787144148,50,,Aggregated,861.111111,0.000000,30,38,45,49,65,75,85,100,230,300,300,10196,0,30,34.250478619069966,3.315800000564195,300.77410000012605,0.0
1787144149,50,,Aggregated,854.600000,0.000000,30,38,45,49,63,74,84,97,230,300,300,11355,0,30,34.15401318362775,3.315800000564195,300.77410000012605,0.0
1787144150,50,,Aggregated,872.100000,0.000000,30,39,45,49,64,75,87,110,280,300,300,12107,0,30,35.2488464937693,3.315800000564195,300.77410000012605,0.0
1787144151,50,,Aggregated,867.200000,0.000000,30,38,44,49,63,74,85,100,280,300,300,13241,0,30,35.09005975379923,3.315800000564195,300.77410000012605,0.0
1787144152,50,,Aggregated,872.000000,0.000000,30,38,44,48,61,73,84,100,280,300,300,14540,0,30,34.62323116231562,3.315800000564195,300.77410000012605,0.0
1787144153,50,,Aggregated,871.500000,0.000000,30,38,44,48,60,72,83,99,280,300,300,15698,0,30,34.527316957578314,3.315800000564195,300.77410000012605,0.0
1787144155,50,,Aggregated,955.900000,0.000000,30,39,45,48,61,72,83,99,280,300,300,16699,0,30,34.79269484999613,3.315800000564195,300.77410000012605,0.0
1787144156,50,,Aggregated,976.200000,0.000000,30,39,45,48,61,72,86,110,280,300,300,17424,0,30,35.24077353650792,3.315800000564195,300.77410000012605,0.0
1787144157,50,,Aggregated,977.800000,0.000000,31,39,45,49,61,72,85,110,280,300,300,18452,0,31,35.38706682744903,3.315800000564195,300.77410000012605,0.0
1787144158,50,,Aggregated,957.400000,0.000000,31,39,45,49,61,72,85,100,280,300,300,19377,0,31,35.60252819838476,3.315800000564195,300.77410000012605,0.0
1787144159,50,,Aggregated,976.900000,0.000000,31,39,45,49,61,72,85,100,270,300,300,20424,0,31,35.73418486095314,3.315800000564195,300.77410000012605,0.0
1787144160,50,,Aggregated,989.100000,0.000000,31,40,45,49,61,72,85,100,270,300,300,21251,0,31,35.93195603501457,3.315800000564195,300.77410000012605,0.0
1787144161,50,,Aggregated,978.300000,0.000000,32,40,45,49,62,72,86,100,270,300,300,22155,0,32,36.20697893929456,3.315800000564195,300.77410000012605,0.0
1787144162,50,,Aggregated,957.800000,0.000000,32,40,46,50,62,73,88,100,270,300,300,22969,0,32,36.548161365320595,3.315800000564195,300.77410000012605,0.0
1787144163,50,,Aggregated,964.400000,0.000000,32,40,46,50,63,74,90,110,270,300,300,23738,0,32,36.90488697868539,3.315800000564195,300.77410000012605,0.0
1787144164,50,,Aggregated,933.900000,0.000000,33,41,47,51,64,76,93,110,270,300,300,24301,0,33,37.54616427719317,3.315800000564195,300.77410000012605,0.0
1787144165,50,,Aggregated,887.200000,0.000000,33,41,47,51,64,76,93,110,270,300,300,25171,0,33,37.720316034327915,3.315800000564195,300.77410000012605,0.0
1787144166,50,,Aggregated,833.000000,0.000000,33,42,48,52,65,77,93,110,270,300,300,25851,0,33,38.13242288499788,3.315800000564195,300.77410000012605,0.0
